spatial_element,psychological_perception,behavioral_motivation,relation_type,image_id
lanes,organized structure,follow traffic rules,positive,201601_114.10623119912222_22.574391960607027.png
signs,clear guidance,make informed decisions,positive,201601_114.10623119912222_22.574391960607027.png
infrastructure,consistent layout,feel secure,positive,201601_114.10623119912222_22.574391960607027.png
highway,high degree of coherence,navigate effectively,positive,201601_114.10618209449758_22.639128819453624.png
lanes,sense of order,drive safely,positive,201601_114.10618209449758_22.639128819453624.png
markings,clear organization,follow traffic rules,positive,201601_114.10618209449758_22.639128819453624.png
guardrails,safety assurance,reduce risk of accidents,positive,201601_114.10618209449758_22.639128819453624.png
streetlights,visibility enhancement,drive at night,positive,201601_114.10618209449758_22.639128819453624.png
greenery,natural beauty,enjoy the scenery,positive,201601_114.10618209449758_22.639128819453624.png
vehicles,movement in order,maintain traffic flow,positive,201601_114.10618209449758_22.639128819453624.png
highway,clear organization,navigate effectively,positive,201601_114.10719781995881_22.66485982284317.png
buildings,structured diversity,engage with surroundings,positive,201601_114.10719781995881_22.66485982284317.png
elements,slight incoherence,avoid industrial areas,negative,201601_114.10719781995881_22.66485982284317.png
road,clear organization,navigate efficiently,positive,201601_114.10914030735168_22.664945423098374.png
greenery,somewhat ordered,feel connected to nature,neutral,201601_114.10914030735168_22.664945423098374.png
barriers,indicated boundaries,maintain distance,negative,201601_114.10914030735168_22.664945423098374.png
arrangement,functional,utilize space,neutral,201601_114.10914030735168_22.664945423098374.png
order,lack of natural integration,seek coherence,negative,201601_114.10914030735168_22.664945423098374.png
entrance,sense of order,approach with confidence,positive,201601_114.1125916_22.709417099999996.png
fencing,feeling of security,enter with assurance,positive,201601_114.1125916_22.709417099999996.png
signage,clarity of purpose,navigate easily,positive,201601_114.1125916_22.709417099999996.png
buildings,functional understanding,engage in business activities,positive,201601_114.1125916_22.709417099999996.png
vehicles,organized environment,move efficiently,positive,201601_114.1125916_22.709417099999996.png
highway,sense of order,navigate easily,positive,201601_114.1115713_22.576595899999997.png
traffic,complexity,hesitate or slow down,negative,201601_114.1115713_22.576595899999997.png
signage,clarity,follow directions,positive,201601_114.1115713_22.576595899999997.png
vehicles,orderliness,maintain flow,positive,201601_114.1115713_22.576595899999997.png
buildings,organization,understand layout,positive,201601_114.1115713_22.576595899999997.png
street,strong sense of coherence,navigate easily,positive,201601_114.1613079_22.566802599999995.png
buildings,structured and logical,feel secure,positive,201601_114.1613079_22.566802599999995.png
roads,easily understandable,move confidently,positive,201601_114.1613079_22.566802599999995.png
highway,sense of order,comprehend layout,positive,201601_114.1179061_22.642301299999996.png
lanes,feeling of organization,navigate traffic,positive,201601_114.1179061_22.642301299999996.png
barriers,sense of safety,drive confidently,positive,201601_114.1179061_22.642301299999996.png
streetlights,enhanced visibility,improve driving experience,positive,201601_114.1179061_22.642301299999996.png
highway,sense of order,navigate efficiently,positive,201602_113.8346418_22.579743099999998.png
buildings,lack of cohesion,feel disoriented,negative,201602_113.8346418_22.579743099999998.png
hills,lack of cohesion,feel disoriented,negative,201602_113.8346418_22.579743099999998.png
infrastructure,lack of cohesion,feel disoriented,negative,201602_113.8346418_22.579743099999998.png
roads,sense of order,ease of navigation,positive,201602_113.840329_22.576161200000005.png
greenery,sense of predictability,comfort in environment,positive,201602_113.840329_22.576161200000005.png
infrastructure,ease of understanding,engagement with space,positive,201602_113.840329_22.576161200000005.png
lanes,sense of order,easily understood navigation,positive,201602_113.86300899856657_22.555466000376438.png
barriers,sense of security,encouraged safe driving,positive,201602_113.86300899856657_22.555466000376438.png
development,organized environment,promotes efficient movement,positive,201602_113.86300899856657_22.555466000376438.png
infrastructure,clear understanding,facilitates planning,positive,201602_113.86300899856657_22.555466000376438.png
highway,sense of structure,navigate efficiently,positive,201602_113.86567215367191_22.55283817379702.png
buildings,sense of order,engage with surroundings,positive,201602_113.86567215367191_22.55283817379702.png
trees,enhanced tranquility,relax and enjoy nature,positive,201602_113.86567215367191_22.55283817379702.png
hills,visual appeal,explore the environment,positive,201602_113.86567215367191_22.55283817379702.png
layout,sense of order,navigate easily,positive,201602_114.0243778_22.644818399999995.png
density,visual cohesiveness diminished,feel overwhelmed,negative,201602_114.0243778_22.644818399999995.png
styles,confusion in aesthetics,hesitate to explore,negative,201602_114.0243778_22.644818399999995.png
intersection,feeling of coherence,navigating effectively,positive,201602_114.0302102_22.682382.png
overpass,sense of order,following traffic rules,positive,201602_114.0302102_22.682382.png
lanes,organized environment,maintaining traffic flow,positive,201602_114.0302102_22.682382.png
roads,structured arrangement,navigate effectively,positive,201602_114.0076178_22.653348199999996.png
buildings,sense of order,feel secure,positive,201602_114.0076178_22.653348199999996.png
vehicles,slight disorder,hesitate to cross,negative,201602_114.0076178_22.653348199999996.png
fencing,obstruction,avoid areas,negative,201602_114.0076178_22.653348199999996.png
traffic signals,clear guidance,follow traffic rules,positive,201602_114.0076178_22.653348199999996.png
street,clear layout,navigate easily,positive,201602_114.1318184_22.558027199999998.png
buildings,harmonious arrangement,feel belonging,positive,201602_114.1318184_22.558027199999998.png
trees,natural pathway,encourage walking,positive,201602_114.1318184_22.558027199999998.png
parking,organized space,park efficiently,positive,201602_114.1318184_22.558027199999998.png
architecture,consistent style,appreciate aesthetics,positive,201602_114.1318184_22.558027199999998.png
parking,sense of order,easier navigation,positive,201602_114.1310943_22.566169000000002.png
buildings,clear organization,understanding space function,positive,201602_114.1310943_22.566169000000002.png
greenery,deliberate integration,enhanced aesthetic appeal,positive,201602_114.1310943_22.566169000000002.png
walkways,defined pathways,encouragement to walk,positive,201602_114.1310943_22.566169000000002.png
buildings,moderate coherence,navigating the area,positive,201606_113.9774213_22.683000099999997.png
road,clear structure,following road markings,positive,201606_113.9774213_22.683000099999997.png
construction,visual clutter,avoiding distractions,negative,201606_113.9774213_22.683000099999997.png
wires,visual clutter,avoiding distractions,negative,201606_113.9774213_22.683000099999997.png
streets,sense of order,navigate effectively,positive,201606_113.9916356_22.678826899999997.png
buildings,organized environment,engage with surroundings,positive,201606_113.9916356_22.678826899999997.png
traffic,cautious awareness,cross safely,positive,201606_113.9916356_22.678826899999997.png
greenery,slight disconnection,explore less cohesively,negative,201606_113.9916356_22.678826899999997.png
houses,sense of order,feel comfortable,positive,201606_114.0396657_22.702419900000002.png
hedges,sense of order,feel comfortable,positive,201606_114.0396657_22.702419900000002.png
construction,disruption,feel uneasy,negative,201606_114.0396657_22.702419900000002.png
highway,sense of order,increased predictability,positive,201606_114.034896_22.7303757.png
traffic,sense of predictability,enhanced navigation,positive,201606_114.034896_22.7303757.png
greenery,coherence of environment,encouragement of relaxation,positive,201606_114.034896_22.7303757.png
buildings,sense of order,navigating the space,positive,201606_114.04623993684964_22.702158410966888.png
roads,comprehensible layout,engaging in activities,positive,201606_114.04623993684964_22.702158410966888.png
sidewalks,bustling atmosphere,social interaction,positive,201606_114.04623993684964_22.702158410966888.png
clutter,visual distraction,avoiding certain areas,negative,201606_114.04623993684964_22.702158410966888.png
highway,clear order,navigate efficiently,positive,201606_114.0391485_22.7282786.png
greenery,fragmented visual landscape,feel disoriented,negative,201606_114.0391485_22.7282786.png
buildings,less integrated,experience discomfort,negative,201606_114.0391485_22.7282786.png
